SOC,company_name,job_title,senority_level,location,zip_code,employment_type,max_salary,listed_time
21-1014,,Mental Health Therapist/Counselor,,"Fort Collins, CO",80521,Full-time,50,1712857887000
11-9051,The National Exemplar ,Assitant Restaurant Manager,,"Cincinnati, OH",45202,Full-time,65000,1713277614000
23-1011,"Abrams Fensterman, LLP",Senior Elder Law / Trusts and Estates Associate Attorney,,"New Hyde Park, NY",11040,Full-time,175000,1712895812000
49-3023,, Service Technician,,"Burlington, IA",52601,Full-time,80000,1713451943000
19-3051,Downtown Raleigh Alliance,Economic Development and Planning Intern,,"Raleigh, NC",27601,Internship,20,1713456099000
17-2199,,Building Engineer,,"San Francisco, CA",94101,Full-time,120000,1712443452000
29-1126,Children's Nebraska,Respiratory Therapist,,"Omaha, NE",68102,Full-time,,1712348500000
21-2011,Bay West Church,Worship Leader,,"Palm Bay, FL",32905,Part-time,,1712455955000
43-4051,"Glastender, Inc.",Inside Customer Service Associate,,"Saginaw, MI",48601,Full-time,,1713210566000
17-1011,PGAV Destinations,Project Architect,,"St Louis, MO",63367,Full-time,,1712858322000
17-2051,,Structural Engineer,,"San Mateo, CA",94401,Full-time,,1712460580000
11-2021,Staffing Theory,Senior Product Marketing Manager,,United States,,Full-time,,1713537397000
27-2022,OsteoStrong,Osteogenic Loading Coach,,"Anchorage, AK",99501,Full-time,,1713466434000
43-9199,CLEVELAND KIDS BOOK BANK,Administrative Coordinator,,"Cleveland, OH",44102,Full-time,,1712855686000
43-4181,,Customer Service / Reservationist,,"Providence, RI",02903,Part-time,19,1713532302000
27-3043,United Methodists of Greater New Jersey,"Content Writer, Communications",,Greater Philadelphia,,Full-time,,1713457320000
11-3031,Shannon Waltchack,Controller,,"Birmingham, AL",35203,Full-time,,1713209850000
29-1071,Premier Family Clinic,Physician Assistant,,"Atlanta, GA",30303,Contract,,1712667107000
29-1291,,Licensed Acupuncturist,,"Maumee, OH",43537,Full-time,,1713471029000
15-1252,,Software Engineer,,Los Angeles Metropolitan Area,,Full-time,,1713535125000
47-2211,,Sheet Metal Fabricator,,"Mineral Wells, TX",76067,Full-time,,1713464701000
23-1011,,Personal Injury Attorney,,"Stuart, FL",34994,Full-time,,1713466969000
13-1121,PRM-TAIWAN,NPE 2024 Exhibition Event Worker,,"Orlando, FL",32801,Part-time,,1712653698000
15-1252,GOYT,Software Engineer,,"Denver, CO",80202,Part-time,,1713280645000
43-4131,,Loan Coordinator,,"New Jersey, United States",,Contract,,1713534869000
53-7062,,General Laborer,,"Erie, PA",16501,Full-time,24,1713280468000
25-3099,Harlingen Country Club,Swim Instructor,,"Harlingen, TX",78550,Contract,,1713389686000
43-6014,"REquipment Durable Medical Equipment and Assistive Technology Reuse Program, Inc.",Administrative Assistant,,"Woburn, MA",01801,Part-time,,1713550487000
43-6012,Fidelity National Title / Law Firm,Legal Secretary,,"Phoenix, AZ",85003,Full-time,,1712439588000
41-4012,ABME,Salesperson,,United States,,Full-time,,1713470495000
29-1141,Atrium Centers,Registered Nurse,,"Grayling, MI",49738,Full-time,,1713465260000
11-3012,Revesco Properties,Marketing & Office Coordinator,,"Denver, CO",80202,Full-time,75000,1713458968000
15-1232,Recruitment Design,Software Support Specialist,,"McLean, VA",22101,Full-time,65000,1712859730000
19-1012,ADEPT HRM Solutions,Production Planner (Food Technologist),,"Concord, NC",28025,Full-time,,1712350980000
11-1011,Food Bank of Alaska,Chief Operating Officer,,"Anchorage, AK",99501,Full-time,110000,1713553746000
23-1011,Jung & Vassar PC Attorneys At Law A Law Corp,Associate Attorney,,"Kailua-Kona, HI",96740,Full-time,135000,1712440648000
49-9021,,HVAC Technician,,"Brooklyn, NY",11201,Full-time,,1713492045000
13-2072,Orlando Credit Union,External Mortgage Loan Officer,,"Orlando, FL",32801,Full-time,,1713489794000
47-4011,"Blackland Home Inspections, PLLC",TREC licensed Professional Home Inspector,,Dallas-Fort Worth Metroplex,,Full-time,28,1713474041000
41-1011,,"Manager, Retail Pharmacy",,"Tucson, AZ",85701,Full-time,165000,1713208359000
11-9141,,Commercial Property Manager,,"Houston, TX",77002,Full-time,,1713213077000
23-1011,Einbinder & Dunn LLP,Transactional Attorney,,"New York, NY",10001,Full-time,,1712865742000
27-3043,Kate Meadows Writing and Editing,Blog writer and virtual assistant,,"South Dakota, United States",,Contract,,1712349360000
13-1161,Tracker,Marketing Specialist,,United States,,Full-time,80000,1713469062000
41-2031,POSHI,Sales Associate Natural Food Products,,"Miami, FL",33122,Full-time,120000,1713389256000
41-4012,"TURNER HYDRAULICS, INC",Industrial Sales Representative,,"Lancaster, PA",17601,Full-time,,1713208033000
11-2022,,National Sales Manager,,"Los Angeles, CA",90001,Full-time,85000,1713213668000
11-2022,,Reps manager,,"Macon, GA",31201,Part-time,,1713490653000
25-2011,,"Montessori Lead Guide, Primary",,"Austin, TX",78701,Full-time,77000,1713448607000
11-3131,,Director of Training,,"New York, NY",10001,Full-time,140000,1712634878000
11-3012,Genlabs Corp,Office Manager,,"Chino, CA",91708,Full-time,70000,1712437020000
27-3031,,Social Media Coordinator,,"New York, United States",,Part-time,,1713551856000
41-3031,A.G.P./Alliance Global Partners,Equity Institutional Sales Position,,New York City Metropolitan Area,,Full-time,,1712857819000
43-4171,NeuroJust ,Front Desk Administrator,,"Metairie, LA",70001,Full-time,,1713554558000
13-2052,The Medicare Coach,Social Security Specialist / Retirement Benefit Advisor (Remote),,"Colorado, United States",,Full-time,25,1713213526000
49-1011,BWE Home Theater,Lead Installer,,"Fresno, CA",93650,Full-time,,1713397902000
41-4012,The Job Network,Sales Representative,,"Ogden, UT",84401,Full-time,150000,1712903554000
29-1292,The Job Network,Dental Hygienist - choose your shift,,"Huntington, NY",11743,Full-time,,1712903556000
13-2051,The Job Network,FP&A Analyst,,"Dallas, TX",75201,Full-time,,1712903558000
15-1211,Revature,Entry Level Oracle Financial Technology Consultant,Entry level,"East Chicago, IN",46312,Full-time,,1712903573000
49-9071,The Job Network,Maintenance Mechanic,,"Suffolk, VA",23432,Full-time,,1712903568000
13-2054,The Job Network,Trade Review Principal,,"Urbandale, IA",50322,Full-time,,1712903572000
